Id,Title,StaringActorId,StaringActor,ActorAgeGapId,AgeGapDefinition,WriterId,Writer,Genres,GenreId,NumberOfVotes,Rating,Success
3676,It's a Wonderful Life,12534,James Stewart,4,30s,320633,Frances Goodrich,Drama,1,339858,8.6,1
3677,Gone with the Wind,12485,Clark Gable,4,30s,569908,Margaret Mitchell,Drama,1,256446,8.2,1
3678,The Wizard of Oz,12486,Judy Garland,6,teenager,469253,Noel Langley,Adventure,10,342128,8.0,1
3679,The Great Dictator,12585,Charles Chaplin,2,50s,12585,Charles Chaplin,Comedy,3,172952,8.5,1
3680,Pinocchio,404833,Dickie Jones,6,teenager,653189,Bill Peet,Animation,11,111035,7.5,1
3681,Rebecca,12522,Laurence Olivier,4,30s,229531,Daphne Du Maurier,Drama,1,107403,8.1,1
3682,Citizen Kane,12543,Orson Welles,5,20s,516590,Herman J. Mankiewicz,Drama,1,352700,8.4,1
3683,Dumbo,11963,Sterling Holloway,4,30s,332126,Joe Grant,Animation,11,102813,7.3,1
3684,The Maltese Falcon,12470,Humphrey Bogart,3,40s,11983,John Huston,Film-Noir,7,136795,8.1,1
3685,Bambi,35181,Hardie Albright,4,30s,724930,Felix Salten,Animation,11,112965,7.3,1
3686,Casablanca,12470,Humphrey Bogart,3,40s,254375,Julius J. Epstein,Drama,1,460503,8.5,1
3687,Double Indemnity,509180,Fred MacMurray,4,30s,13160,Billy Wilder,Crime,14,122163,8.3,1
3688,Ladri di biciclette,522070,Lamberto Maggiorani,4,30s,908843,Cesare Zavattini,Drama,1,120938,8.3,1
3689,Rope,12534,James Stewart,4,30s,13558,Hume Cronyn,Crime,14,112106,8.0,1
3690,The Third Man,12543,Orson Welles,4,30s,11898,Graham Greene,Film-Noir,7,138661,8.2,1
3691,City Lights,12585,Charles Chaplin,3,40s,12585,Charles Chaplin,Comedy,3,139749,8.5,1
3692,M - Eine Stadt sucht einen MÃ¶rder,12511,Peter Lorre,5,20s,855638,Thea von Harbou,Crime,14,122419,8.3,1
3693,Modern Times,12585,Charles Chaplin,3,40s,12585,Charles Chaplin,Comedy,3,181571,8.5,1
3694,Snow White and the Seven Dwarfs,144399,Adriana Caselotti,5,20s,339059,Jacob Grimm,Animation,11,158470,7.6,1
3695,All About Eve,12475,Bette Davis,3,40s,13044,Joseph L. Mankiewicz,Drama,1,103448,8.3,1
3696,Cinderella,902078,Ilene Woods,5,20s,631308,Charles Perrault,Animation,11,126426,7.3,1
3697,RashÃ´mon,12140,ToshirÃ´ Mifune,5,20s,10245,RyÃ»nosuke Akutagawa,Crime,14,128528,8.3,1
3698,Sunset Blvd.,12497,William Holden,4,30s,109659,Charles Brackett,Drama,1,172127,8.4,1
3699,Alice in Wonderland,75323,Kathryn Beaumont,6,teenager,133208,Lewis Carroll,Adventure,10,112284,7.4,1
3700,Strangers on a Train,336867,Farley Granger,5,20s,152245,Raymond Chandler,Crime,14,111345,8.0,1
3701,Singin' in the Rain,12500,Gene Kelly,4,30s,179116,Betty Comden,Comedy,3,188651,8.3,1
3702,Peter Pan,235710,Bobby Driscoll,6,teenager,61737,J.M. Barrie,Adventure,10,107573,7.3,1
3703,Roman Holiday,12523,Gregory Peck,4,30s,385400,Ian McLellan Hunter,Comedy,3,114931,8.1,1
3704,Metropolis,364745,Brigitte Helm,5,20s,855638,Thea von Harbou,Drama,1,137747,8.3,1
3705,Galaxy Quest,13204,Tim Allen,3,40s,382354,David Howard,Adventure,10,135556,7.3,1
3706,The Perfect Storm,12586,George Clooney,4,30s,412554,Sebastian Junger,Action,15,144481,6.4,0
3707,Requiem for a Dream,11599,Ellen Burstyn,1,+60s,748298,Hubert Selby Jr.,Drama,1,679094,8.3,1
3708,Minority Report,12592,Tom Cruise,4,30s,11744,Philip K. Dick,Action,15,457606,7.7,1
3709,Terminator 3: Rise of the Machines,12679,Arnold Schwarzenegger,2,50s,12579,James Cameron,Action,15,341841,6.3,0
3710,Traffic,12603,Michael Douglas,2,50s,577862,Simon Moore,Crime,14,183555,7.6,1
3711,Almost Famous,11686,Billy Crudup,4,30s,11685,Cameron Crowe,Adventure,10,230504,7.9,1
3712,Falling Down,12603,Michael Douglas,3,40s,782275,Ebbe Roe Smith,Crime,14,152233,7.6,1
3713,The Firm,12592,Tom Cruise,4,30s,11904,John Grisham,Drama,1,102692,6.8,0
3714,The Fugitive,12611,Harrison Ford,2,50s,804725,Jeb Stuart,Action,15,239306,7.8,1
3715,Groundhog Day,12658,Bill Murray,3,40s,710045,Danny Rubin,Comedy,3,525309,8.0,1
3716,In the Name of the Father,12821,Daniel Day-Lewis,4,30s,175940,Gerry Conlon,Biography,17,136875,8.1,1
3717,Jurassic Park,13017,Sam Neill,3,40s,12804,Michael Crichton,Adventure,10,755498,8.1,1
3718,Last Action Hero,12679,Arnold Schwarzenegger,3,40s,649675,Zak Penn,Action,15,121370,6.3,0
3719,Mrs. Doubtfire,12708,Robin Williams,3,40s,281835,Anne Fine,Comedy,3,212684,7.0,0
3720,The Nightmare Before Christmas,12847,Danny Elfman,4,30s,12781,Tim Burton,Animation,11,261069,8.0,1
3721,Philadelphia,12621,Tom Hanks,4,30s,623605,Ron Nyswaner,Drama,1,201615,7.7,1
3722,Robin Hood: Men in Tights,12607,Cary Elwes,4,30s,759846,J.D. Shapiro,Adventure,10,103978,6.7,0
3723,Schindler's List,13016,Liam Neeson,3,40s,419382,Thomas Keneally,Biography,17,1043890,8.9,1
3724,Sleepless in Seattle,12621,Tom Hanks,4,30s,45769,Jeff Arch,Comedy,3,140978,6.8,0
3725,Tombstone,13084,Kurt Russell,3,40s,400588,Kevin Jarre,Action,15,110730,7.8,1
3726,True Romance,12688,Christian Slater,5,20s,12696,Quentin Tarantino,Crime,14,184002,7.9,1
3727,What's Eating Gilbert Grape,12599,Johnny Depp,5,20s,368393,Peter Hedges,Drama,1,192914,7.8,1
3728,Friends,12561,Jennifer Aniston,5,20s,710611,Zachary Rosenblatt,Comedy,3,628972,8.9,1
3729,Ace Ventura: Pet Detective,12583,Jim Carrey,4,30s,76092,Jack Bernstein,Comedy,3,247898,6.9,0
3730,Clerks,615617,Brian O'Halloran,5,20s,20845,Kevin Smith,Comedy,3,198029,7.8,1
3731,The Crow,12951,Brandon Lee,5,20s,623997,James O'Barr,Action,15,151987,7.6,1
3732,Dumb and Dumber,12583,Jim Carrey,4,30s,268800,Peter Farrelly,Comedy,3,321903,7.3,1
3733,Ed Wood,12599,Johnny Depp,4,30s,341425,Rudolph Grey,Biography,17,154866,7.9,1
3734,Forrest Gump,12621,Tom Hanks,4,30s,336248,Winston Groom,Drama,1,1541203,8.8,1
3735,Four Weddings and a Funeral,12887,Hugh Grant,4,30s,202934,Richard Curtis,Comedy,3,122665,7.1,0
3736,Poltergeist,12455,JoBeth Williams,4,30s,12692,Steven Spielberg,Horror,18,125141,7.4,1
3737,Rocky III,12693,Sylvester Stallone,4,30s,12693,Sylvester Stallone,Drama,1,148962,6.8,0
3738,Star Trek II: The Wrath of Khan,13101,William Shatner,2,50s,708449,Gene Roddenberry,Action,15,102747,7.7,1
3739,The Thing,13084,Kurt Russell,4,30s,469587,Bill Lancaster,Horror,18,319312,8.1,1
3740,TRON,12776,Jeff Bridges,4,30s,500746,Steven Lisberger,Action,15,104041,6.8,0
3741,A Christmas Story,71766,Peter Billingsley,6,teenager,766991,Jean Shepherd,Comedy,3,117584,8.0,1
3742,The Meaning of Life,12555,John Cleese,3,40s,11641,Graham Chapman,Comedy,3,101109,7.6,1
3743,Star Wars: Episode VI - Return of the Jedi,12897,Mark Hamill,4,30s,12014,Lawrence Kasdan,Action,15,832773,8.3,1
3744,Scarface,12662,Al Pacino,3,40s,12694,Oliver Stone,Crime,14,641507,8.3,1
3745,Trading Places,13015,Eddie Murphy,5,20s,345648,Timothy Harris,Comedy,3,119474,7.5,1
3746,Amadeus,13182,F. Murray Abraham,3,40s,762592,Peter Shaffer,Biography,17,325579,8.3,1
3747,Beverly Hills Cop,13015,Eddie Murphy,5,20s,655747,Daniel Petrie Jr.,Action,15,144885,7.3,1
3748,Dune,12096,Kyle MacLachlan,5,20s,372989,Frank Herbert,Action,15,108522,6.6,0
3749,Ghost Busters,12658,Bill Murray,4,30s,12564,Dan Aykroyd,Action,15,314479,7.8,1
3750,Gremlins,13623,Zach Galligan,6,teenager,11664,Chris Columbus,Comedy,3,170382,7.2,0
3751,The Graduate,12626,Dustin Hoffman,5,20s,884536,Calder Willingham,Comedy,3,232930,8.0,1
3752,The Jungle Book,345467,Phil Harris,1,+60s,166612,Larry Clemmons,Adventure,10,145564,7.6,1
3753,2001: A Space Odyssey,11762,Keir Dullea,4,30s,12503,Stanley Kubrick,Adventure,10,522112,8.3,1
3754,Night of the Living Dead,404873,Duane Jones,4,30s,719673,John A. Russo,Horror,18,102429,7.9,1
3755,Planet of the Apes,12495,Charlton Heston,3,40s,885134,Michael Wilson,Adventure,10,153316,8.0,1
3756,Rosemary's Baby,11805,Mia Farrow,5,20s,486637,Ira Levin,Drama,1,164601,8.0,1
3757,Butch Cassidy and the Sundance Kid,12519,Paul Newman,3,40s,11883,William Goldman,Biography,17,181998,8.1,1
3758,C'era una volta il West,12483,Henry Fonda,1,+60s,24587,Sergio Donati,Western,16,261761,8.5,1
3759,Psycho,13041,Anthony Perkins,5,20s,793702,Joseph Stefano,Horror,18,516078,8.5,1
3760,Spartacus,12481,Kirk Douglas,3,40s,834526,Dalton Trumbo,Adventure,10,110609,7.9,1
3761,Breakfast at Tiffany's,12493,Audrey Hepburn,4,30s,13519,Truman Capote,Comedy,3,147216,7.7,1
3762,One Hundred and One Dalmatians,12396,Rod Taylor,4,30s,653189,Bill Peet,Adventure,10,132637,7.2,0
3763,Dr. No,12588,Sean Connery,4,30s,517489,Richard Maibaum,Action,15,130888,7.3,1
3764,Lawrence of Arabia,13027,Peter O'Toole,5,20s,481060,T.E. Lawrence,Adventure,10,233521,8.3,1
3765,To Kill a Mockingbird,12523,Gregory Peck,3,40s,474673,Harper Lee,Crime,14,263029,8.3,1
3766,The Birds,12396,Rod Taylor,4,30s,229531,Daphne Du Maurier,Drama,1,150590,7.7,1
3767,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,13097,Peter Sellers,4,30s,12503,Stanley Kubrick,Comedy,3,403021,8.4,1
