StaringActorId,ActorAgeGapId,WriterId,GenreId,Success
12534,4,320633,1,1
12485,4,569908,1,1
12486,6,469253,10,1
12585,2,12585,3,1
404833,6,653189,11,1
12522,4,229531,1,1
12543,5,516590,1,1
11963,4,332126,11,1
12470,3,11983,7,1
35181,4,724930,11,1
12470,3,254375,1,1
509180,4,13160,14,1
522070,4,908843,1,1
12534,4,13558,14,1
12543,4,11898,7,1
12585,3,12585,3,1
12511,5,855638,14,1
12585,3,12585,3,1
144399,5,339059,11,1
12475,3,13044,1,1
902078,5,631308,11,1
12140,5,10245,14,1
12497,4,109659,1,1
75323,6,133208,10,1
336867,5,152245,14,1
12500,4,179116,3,1
235710,6,61737,10,1
12523,4,385400,3,1
364745,5,855638,1,1
13204,3,382354,10,1
12586,4,412554,15,0
11599,1,748298,1,1
12592,4,11744,15,1
12679,2,12579,15,0
12603,2,577862,14,1
11686,4,11685,10,1
12603,3,782275,14,1
12592,4,11904,1,0
12611,2,804725,15,1
12658,3,710045,3,1
12821,4,175940,17,1
13017,3,12804,10,1
12679,3,649675,15,0
12708,3,281835,3,0
12847,4,12781,11,1
12621,4,623605,1,1
12607,4,759846,10,0
13016,3,419382,17,1
12621,4,45769,3,0
13084,3,400588,15,1
12688,5,12696,14,1
12599,5,368393,1,1
12561,5,710611,3,1
12583,4,76092,3,0
615617,5,20845,3,1
12951,5,623997,15,1
12583,4,268800,3,1
12599,4,341425,17,1
12621,4,336248,1,1
12887,4,202934,3,0
12455,4,12692,18,1
12693,4,12693,1,0
13101,2,708449,15,1
13084,4,469587,18,1
12776,4,500746,15,0
71766,6,766991,3,1
12555,3,11641,3,1
12897,4,12014,15,1
12662,3,12694,14,1
13015,5,345648,3,1
13182,3,762592,17,1
13015,5,655747,15,1
12096,5,372989,15,0
12658,4,12564,15,1
13623,6,11664,3,0
12626,5,884536,3,1
345467,1,166612,10,1
11762,4,12503,10,1
404873,4,719673,18,1
12495,3,885134,10,1
11805,5,486637,1,1
12519,3,11883,17,1
12483,1,24587,16,1
13041,5,793702,18,1
12481,3,834526,10,1
12493,4,13519,3,1
12396,4,653189,10,0
12588,4,517489,15,1
13027,5,481060,10,1
12523,3,474673,14,1
12396,4,229531,1,1
13097,4,12503,3,1
12588,4,517489,15,1
13000,4,106129,10,1
12588,4,517489,15,1
12730,5,868698,3,1
12605,4,88205,16,1
12605,4,12070,16,1
12730,5,400736,17,1
12605,4,856933,16,1
12519,3,635591,14,1
12995,5,12503,14,1
12605,3,282046,15,1
13161,4,11698,12,1
12141,3,451234,14,1
12471,5,752241,14,1
12534,3,355307,8,1
12140,4,12504,10,1
511094,3,314718,10,1
12483,2,712114,14,1
12497,4,98230,10,1
12481,3,12503,1,1
13417,5,12468,1,1
12534,3,183778,8,1
12495,4,872201,10,1
12489,2,488268,10,1
161739,5,649749,11,1
12517,4,13160,3,1
12956,4,13160,3,1
12471,3,662596,14,1
12611,3,398236,15,1
12098,5,428205,15,0
764108,5,557781,10,1
12949,6,12590,18,1
12597,3,341344,14,1
12893,5,392913,3,0
12679,4,12579,15,1
12265,4,11906,3,1
12904,6,13046,10,1
