nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,Id
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0117057,tt0038355,tt0037382,tt0071877",12465
nm0000004,John Belushi,1949,1982,"actor,writer,soundtrack","tt0072562,tt0077975,tt0080455,tt0078723",12467
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0060827,tt0083922,tt0050976,tt0050986",12468
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0038109,tt0034583,tt0038787,tt0071877",12469
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0034583,tt0033870,tt0037382,tt0043265",12470
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0070849,tt0068646,tt0078788,tt0047296",12471
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0031210,tt0035140,tt0042192,tt0056687",12475
nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0080610,tt0096320,tt0091763,tt0069946",12479
nm0000018,Kirk Douglas,1916,\N,"actor,producer,soundtrack","tt0049456,tt0080736,tt0054331,tt0052365",12481
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0032551,tt0050083,tt0064116,tt0082846",12483
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0032976,tt0034248,tt0036969,tt0039504",12484
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0025316,tt0026205,tt0026752,tt0031381",12485
nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0032138,tt0055031,tt0047522,tt0037059",12486
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0071877,tt0045943,tt0117631,tt0082031",12487
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0100802,tt0119488,tt0117731,tt0112715",12488
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0053125,tt0056923,tt0048728,tt0036613",12489
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0050212,tt0051739,tt0076759,tt0041546",12490
nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack","tt0056923,tt0046250,tt0054698,tt0058385",12493
nm0000032,Charlton Heston,1923,2008,"actor,director,writer","tt0070723,tt0049833,tt0063442,tt0052618",12495
nm0000033,Alfred Hitchcock,1899,1980,"actor,director,producer","tt0030341,tt0052357,tt0053125,tt0054215",12496
nm0000034,William Holden,1918,1981,"actor,soundtrack","tt0046359,tt0074958,tt0065214,tt0043014",12497
nm0000035,James Horner,1953,2015,"music_department,soundtrack,composer","tt0499549,tt0120746,tt0120647,tt0120338",12498
nm0000037,Gene Kelly,1912,1996,"actor,soundtrack,director","tt0045152,tt0041716,tt0041944,tt0043278",12500
nm0000038,Grace Kelly,1929,1982,"actress,soundtrack","tt0048728,tt0047396,tt0044706,tt0046912",12501
nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0120663,tt0072684,tt0066921,tt0062622",12503
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0089881,tt0080979,tt0051808,tt0042876",12504
nm0000046,Vivien Leigh,1913,1967,"actress,soundtrack,writer","tt0031381,tt0044081,tt0033238,tt0055382",12509
nm0000048,Peter Lorre,1904,1964,"actor,soundtrack,writer","tt0033870,tt0022100,tt0036613,tt0034583",12511
nm0000049,Henry Mancini,1924,1994,"music_department,soundtrack,composer","tt0057413,tt0085101,tt0383216,tt0054698",12512
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0046672,tt0084855,tt0056193,tt0047522",12514
nm0000054,Marilyn Monroe,1926,1962,"soundtrack,actress,writer","tt0050861,tt0048605,tt0053291,tt0045810",12517
nm0000055,Alfred Newman,1901,1970,"music_department,composer,soundtrack","tt0056085,tt0434409,tt0042192,tt0049408",12518
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0061512,tt0084855,tt0090863",12519
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0069281,tt0032976,tt0054331,tt0040416",12522
nm0000060,Gregory Peck,1916,2003,"actor,producer,soundtrack","tt0039416,tt0046250,tt0054953,tt0056592",12523
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0049456,tt0056172,tt0074896,tt0057831",12526
nm0000064,Edward G. Robinson,1893,1973,"actor,soundtrack,writer","tt0021079,tt0070723,tt0040506,tt0036775",12527
nm0000065,Nino Rota,1911,1979,"composer,soundtrack,music_department","tt0068646,tt0071562,tt0056801,tt0063518",12528
nm0000067,MiklÃ³s RÃ³zsa,1907,1995,"music_department,composer,soundtrack","tt0054847,tt0052618,tt0038109,tt0036775",12530
nm0000071,James Stewart,1908,1997,"actor,soundtrack,director","tt0052357,tt0032904,tt0031679,tt0052561",12534
nm0000076,FranÃ§ois Truffaut,1932,1984,"writer,director,producer","tt0075860,tt0053198,tt0070460,tt0055032",12539
nm0000077,Franz Waxman,1906,1967,"music_department,composer,soundtrack","tt0034248,tt0043014,tt0032976,tt0043924",12540
nm0000080,Orson Welles,1915,1985,"actor,director,writer","tt0052311,tt0033467,tt0059012,tt0057427",12543
nm0000084,Li Gong,1965,\N,actress,"tt0101640,tt0397535,tt0430357,tt0473444",12547
nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0765443,tt0117631,tt0139809,tt0963178",12553
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0095159,tt0063929,tt0085959,tt0071853",12555
nm0000093,Brad Pitt,1963,\N,"actor,producer,soundtrack","tt0816711,tt1210166,tt0114746,tt0356910",12556
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0097123,tt0075686,tt0079522,tt0091167",12558
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt0455590,tt0442632,tt2294189,tt0106179",12559
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0426592,tt0306047,tt0267913,tt0115624",12560
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt3442006,tt1723121,tt1038919,tt0108778",12561
nm0000099,Patricia Arquette,1968,\N,"actress,director,soundtrack","tt1065073,tt0412175,tt0145531,tt0108399",12562
