tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,Id
tt0017136,movie,Metropolis,Metropolis,0,1927,\N,153,"Drama,Sci-Fi",74628
tt0021749,movie,City Lights,City Lights,0,1931,\N,87,"Comedy,Drama,Romance",13109
tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,\N,238,"Drama,History,Romance",49501
tt0032553,movie,The Great Dictator,The Great Dictator,0,1940,\N,125,"Comedy,Drama,War",94686
tt0034583,movie,Casablanca,Casablanca,0,1942,\N,102,"Drama,Romance,War",65608
tt0040522,movie,Bicycle Thieves,Ladri di biciclette,0,1948,\N,89,Drama,87829
tt0041959,movie,The Third Man,The Third Man,0,1949,\N,104,"Film-Noir,Mystery,Thriller",44308
tt0046183,movie,Peter Pan,Peter Pan,0,1953,\N,77,"Adventure,Animation,Family",12633
tt0046250,movie,Roman Holiday,Roman Holiday,0,1953,\N,118,"Comedy,Romance",13209
tt0047478,movie,Seven Samurai,Shichinin no samurai,0,1954,\N,207,"Adventure,Drama",90918
tt0050212,movie,The Bridge on the River Kwai,The Bridge on the River Kwai,0,1957,\N,161,"Adventure,Drama,War",107610
tt0054698,movie,Breakfast at Tiffany's,Breakfast at Tiffany's,0,1961,\N,115,"Comedy,Drama,Romance",100418
tt0032138,movie,The Wizard of Oz,The Wizard of Oz,0,1939,\N,102,"Adventure,Family,Fantasy",72546
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery",22785
tt0033870,movie,The Maltese Falcon,The Maltese Falcon,0,1941,\N,100,"Film-Noir,Mystery",43371
tt0022100,movie,M,M - Eine Stadt sucht einen MÃ¶rder,0,1931,\N,117,"Crime,Mystery,Thriller",30595
tt0057012,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,\N,95,Comedy,17400
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy",16845
tt0040746,movie,Rope,Rope,0,1948,\N,80,"Crime,Drama,Mystery",113165
tt0027977,movie,Modern Times,Modern Times,0,1936,\N,87,"Comedy,Drama,Family",19826
tt0058150,movie,Goldfinger,Goldfinger,0,1964,\N,110,"Action,Adventure,Thriller",78953
tt0043014,movie,Sunset Boulevard,Sunset Blvd.,0,1950,\N,110,"Drama,Film-Noir",94225
tt0032976,movie,Rebecca,Rebecca,0,1940,\N,130,"Drama,Mystery,Romance",1687
tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,"Animation,Family,Fantasy",82447
tt0058331,movie,Mary Poppins,Mary Poppins,0,1964,\N,139,"Comedy,Family,Fantasy",79131
tt0048280,movie,Lady and the Tramp,Lady and the Tramp,0,1955,\N,76,"Adventure,Animation,Comedy",3657
tt0032910,movie,Pinocchio,Pinocchio,0,1940,\N,88,"Animation,Comedy,Family",1622
tt0058461,movie,A Fistful of Dollars,Per un pugno di dollari,0,1964,\N,99,Western,108465
tt0033563,movie,Dumbo,Dumbo,0,1941,\N,64,"Animation,Drama,Family",22880
tt0059578,movie,For a Few Dollars More,Per qualche dollaro in piÃ¹,0,1965,\N,132,Western,56941
tt0050976,movie,The Seventh Seal,Det sjunde inseglet,0,1957,\N,96,"Drama,Fantasy",20008
tt0059742,movie,The Sound of Music,The Sound of Music,0,1965,\N,172,"Biography,Drama,Family",57099
tt0036775,movie,Double Indemnity,Double Indemnity,0,1944,\N,107,"Crime,Drama,Film-Noir",40477
tt0053285,movie,Sleeping Beauty,Sleeping Beauty,0,1959,\N,75,"Animation,Family,Fantasy",42940
tt0061512,movie,Cool Hand Luke,Cool Hand Luke,0,1967,\N,126,"Crime,Drama",33863
tt0042332,movie,Cinderella,Cinderella,0,1950,\N,74,"Animation,Family,Fantasy",67731
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,"Horror,Mystery,Thriller",72813
tt0063350,movie,Night of the Living Dead,Night of the Living Dead,0,1968,\N,96,Horror,51091
tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Family",4394
tt0055254,movie,101 Dalmatians,One Hundred and One Dalmatians,0,1961,\N,79,"Adventure,Animation,Comedy",14316
tt0055928,movie,Dr. No,Dr. No,0,1962,\N,110,"Action,Adventure,Thriller",73340
tt0056172,movie,Lawrence of Arabia,Lawrence of Arabia,0,1962,\N,216,"Adventure,Biography,Drama",73579
tt0052357,movie,Vertigo,Vertigo,0,1958,\N,128,"Mystery,Romance,Thriller",101608
tt0061722,movie,The Graduate,The Graduate,0,1967,\N,106,"Comedy,Drama,Romance",66569
tt0053125,movie,North by Northwest,North by Northwest,0,1959,\N,136,"Adventure,Mystery,Thriller",15941
tt0061852,movie,The Jungle Book,The Jungle Book,0,1967,\N,78,"Adventure,Animation,Family",66696
tt0053291,movie,Some Like It Hot,Some Like It Hot,0,1959,\N,121,"Comedy,Romance",42945
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,"Adventure,Sci-Fi",99450
tt0054331,movie,Spartacus,Spartacus,0,1960,\N,197,"Adventure,Biography,Drama",100062
tt0066999,movie,Dirty Harry,Dirty Harry,0,1971,\N,102,"Action,Crime,Thriller",60063
tt0064115,movie,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,0,1969,\N,110,"Biography,Crime,Drama",84112
tt0073629,movie,The Rocky Horror Picture Show,The Rocky Horror Picture Show,0,1975,\N,100,"Comedy,Musical",57808
tt0079470,movie,Life of Brian,Life of Brian,0,1979,\N,94,Comedy,114184
tt0056869,movie,The Birds,The Birds,0,1963,\N,119,"Drama,Horror,Mystery",17259
tt0080455,movie,The Blues Brothers,The Blues Brothers,0,1980,\N,133,"Adventure,Comedy,Crime",42283
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,\N,124,"Biography,Drama",93702
tt0057115,movie,The Great Escape,The Great Escape,0,1963,\N,172,"Adventure,Drama,History",17500
tt0080761,movie,Friday the 13th,Friday the 13th,0,1980,\N,95,"Horror,Mystery,Thriller",93785
tt0063442,movie,Planet of the Apes,Planet of the Apes,0,1968,\N,112,"Adventure,Sci-Fi",51182
tt0081398,movie,Raging Bull,Raging Bull,0,1980,\N,129,"Biography,Drama,Sport",26973
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,\N,137,"Drama,Horror",51261
tt0083987,movie,Gandhi,Gandhi,0,1982,\N,191,"Biography,Drama,History",41750
tt0084516,movie,Poltergeist,Poltergeist,0,1982,\N,114,"Horror,Thriller",98091
tt0084602,movie,Rocky III,Rocky III,0,1982,\N,99,"Drama,Sport",98173
tt0084787,movie,The Thing,The Thing,0,1982,\N,109,"Horror,Mystery,Sci-Fi",32431
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,0,1968,\N,165,Western,84113
tt0086250,movie,Scarface,Scarface,0,1983,\N,170,"Crime,Drama",29761
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Drama,Sci-Fi",59986
tt0086465,movie,Trading Places,Trading Places,0,1983,\N,116,Comedy,81792
tt0071315,movie,Chinatown,Chinatown,0,1974,\N,130,"Drama,Mystery,Thriller",10632
tt0072271,movie,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,0,1974,\N,83,Horror,90650
tt0074958,movie,Network,Network,0,1976,\N,121,Drama,62051
tt0086879,movie,Amadeus,Amadeus,0,1984,\N,160,"Biography,Drama,History",25016
tt0087182,movie,Dune,Dune,0,1984,\N,137,"Action,Adventure,Sci-Fi",25311
tt0087928,movie,Police Academy,Police Academy,0,1984,\N,96,Comedy,24624
tt0088763,movie,Back to the Future,Back to the Future,0,1985,\N,116,"Adventure,Comedy,Sci-Fi",83006
tt0075148,movie,Rocky,Rocky,0,1976,\N,120,"Drama,Sport",62235
tt0088944,movie,Commando,Commando,0,1985,\N,90,"Action,Adventure,Thriller",83185
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,\N,121,"Action,Adventure,Fantasy",76732
tt0089927,movie,Rocky IV,Rocky IV,0,1985,\N,91,"Drama,Sport",89908
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,\N,183,"Drama,War",45240
tt0090756,movie,Blue Velvet,Blue Velvet,0,1986,\N,120,"Drama,Mystery,Thriller",101115
tt0078788,movie,Apocalypse Now,Apocalypse Now,0,1979,\N,147,"Drama,War",23935
tt0091042,movie,Ferris Bueller's Day Off,Ferris Bueller's Day Off,0,1986,\N,103,Comedy,47984
tt0091064,movie,The Fly,The Fly,0,1986,\N,96,"Drama,Horror,Sci-Fi",48006
tt0092067,movie,Castle in the Sky,TenkÃ» no shiro Rapyuta,0,1986,\N,125,"Adventure,Animation,Fantasy",1391
tt0079116,movie,Escape from Alcatraz,Escape from Alcatraz,0,1979,\N,112,"Biography,Crime,Drama",66222
tt0092890,movie,Dirty Dancing,Dirty Dancing,0,1987,\N,100,"Drama,Music,Romance",12183
tt0082340,movie,Escape from New York,Escape from New York,0,1981,\N,99,"Action,Sci-Fi",8927
tt0092965,movie,Empire of the Sun,Empire of the Sun,0,1987,\N,153,"Drama,History,War",12256
tt0083907,movie,The Evil Dead,The Evil Dead,0,1981,\N,85,Horror,41671
tt0093409,movie,Lethal Weapon,Lethal Weapon,0,1987,\N,109,"Action,Crime,Thriller",83587
tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,\N,113,"Action,Adventure,Sci-Fi",98293
tt0093748,movie,"Planes, Trains & Automobiles","Planes, Trains & Automobiles",0,1987,\N,93,Comedy,39495
tt0094721,movie,Beetlejuice,Beetlejuice,0,1988,\N,92,"Comedy,Fantasy",68240
tt0084827,movie,TRON,TRON,0,1982,\N,96,"Action,Adventure,Sci-Fi",32469
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,0,1988,\N,155,Drama,108059
tt0095953,movie,Rain Man,Rain Man,0,1988,\N,133,Drama,108245
tt0085959,movie,The Meaning of Life,The Meaning of Life,0,1983,\N,107,"Comedy,Musical",29475
tt0096754,movie,The Abyss,The Abyss,0,1989,\N,145,"Adventure,Drama,Sci-Fi",68180
tt0087800,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,1984,\N,91,Horror,80152
tt0096895,movie,Batman,Batman,0,1989,\N,126,"Action,Adventure",34378
tt0087843,movie,Once Upon a Time in America,Once Upon a Time in America,0,1984,\N,229,"Crime,Drama",80194
tt0097733,movie,Lethal Weapon 2,Lethal Weapon 2,0,1989,\N,114,"Action,Crime,Thriller",6790
tt0097757,movie,The Little Mermaid,The Little Mermaid,0,1989,\N,83,"Animation,Family,Fantasy",6814
tt0099487,movie,Edward Scissorhands,Edward Scissorhands,0,1990,\N,105,"Drama,Fantasy,Romance",3001
tt0099674,movie,The Godfather: Part III,The Godfather: Part III,0,1990,\N,162,"Crime,Drama",3182
tt0088247,movie,The Terminator,The Terminator,0,1984,\N,107,"Action,Sci-Fi",24937
tt0099785,movie,Home Alone,Home Alone,0,1990,\N,103,"Comedy,Family",3290
tt0088847,movie,The Breakfast Club,The Breakfast Club,0,1985,\N,97,"Comedy,Drama",83088
tt0100405,movie,Pretty Woman,Pretty Woman,0,1990,\N,119,"Comedy,Romance",97718
tt0091763,movie,Platoon,Platoon,0,1986,\N,120,"Drama,War",580
tt0101272,movie,The Addams Family,The Addams Family,0,1991,\N,99,"Comedy,Fantasy",54018
tt0092005,movie,Stand by Me,Stand by Me,0,1986,\N,89,"Adventure,Drama",1330
tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy",56718
tt0101540,movie,Cape Fear,Cape Fear,0,1991,\N,128,"Crime,Thriller",38259
tt0102057,movie,Hook,Hook,0,1991,\N,142,"Adventure,Comedy,Family",21133
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,\N,137,"Action,Sci-Fi",10350
tt0092099,movie,Top Gun,Top Gun,0,1986,\N,110,"Action,Drama",64526
tt0103074,movie,Thelma & Louise,Thelma & Louise,0,1991,\N,130,"Adventure,Crime,Drama",10360
tt0092991,movie,Evil Dead II,Evil Dead II,0,1987,\N,84,"Comedy,Horror",12280
tt0103772,movie,Basic Instinct,Basic Instinct,0,1992,\N,127,"Drama,Mystery,Thriller",2725
tt0093773,movie,Predator,Predator,0,1987,\N,107,"Action,Adventure,Sci-Fi",39518
tt0104431,movie,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,0,1992,\N,120,"Adventure,Comedy,Family",114095
tt0093822,movie,Raising Arizona,Raising Arizona,0,1987,\N,94,"Comedy,Crime",39567
tt0106308,movie,Army of Darkness,Army of Darkness,0,1992,\N,81,"Comedy,Horror",61410
tt0106489,movie,A Bronx Tale,A Bronx Tale,0,1993,\N,121,"Crime,Drama",61587
tt0106519,movie,Carlito's Way,Carlito's Way,0,1993,\N,144,"Crime,Drama,Thriller",61617
tt0106677,movie,Dazed and Confused,Dazed and Confused,0,1993,\N,102,Comedy,61773
tt0093870,movie,RoboCop,RoboCop,0,1987,\N,102,"Action,Crime,Sci-Fi",39613
tt0106856,movie,Falling Down,Falling Down,0,1993,\N,113,"Crime,Drama,Thriller",52341
