tconst,averageRating,numVotes,Id
tt0038650,8.6,339858,150
tt0031381,8.2,256446,2126
tt0032138,8.0,342128,2719
tt0032553,8.5,172952,3043
tt0032910,7.5,111035,3321
tt0032976,8.1,107403,3368
tt0033467,8.4,352700,3774
tt0033563,7.3,102813,3849
tt0033870,8.1,136795,4112
tt0034492,7.3,112965,4606
tt0034583,8.5,460503,4686
tt0036775,8.3,122163,6432
tt0040522,8.3,120938,7964
tt0040746,8.0,112106,8141
tt0041959,8.2,138661,9074
tt0021749,8.5,139749,9222
tt0022100,8.3,122419,9448
tt0027977,8.5,181571,13649
tt0029583,7.6,158470,14863
tt0042192,8.3,103448,15577
tt0042332,7.3,126426,15698
tt0042876,8.3,128528,16154
tt0043014,8.4,172127,16260
tt0043274,7.4,112284,16456
tt0044079,8.0,111345,17116
tt0045152,8.3,188651,17968
tt0046183,7.3,107573,18781
tt0046250,8.1,114931,18834
tt0017136,8.3,137747,23299
tt0177789,7.3,135556,25712
tt0177971,6.4,144481,25805
tt0180093,8.3,679094,26985
tt0181689,7.7,457606,27884
tt0181852,6.3,341841,27966
tt0181865,7.6,183555,27970
tt0181875,7.9,230504,27977
tt0106856,7.6,152233,28357
tt0106918,6.8,102692,28411
tt0106977,7.8,239306,28464
tt0107048,8.0,525309,28519
tt0107207,8.1,136875,28651
tt0107290,8.1,755498,28717
tt0107362,6.3,121370,28776
tt0107614,7.0,212684,28979
tt0107688,8.0,261069,29035
tt0107818,7.7,201615,29140
tt0107977,6.7,103978,29262
tt0108052,8.9,1043890,29324
tt0108160,6.8,140978,29407
tt0108358,7.8,110730,29573
tt0108399,7.9,184002,29606
tt0108550,7.8,192914,29712
tt0108778,8.9,628972,29901
tt0109040,6.9,247898,30122
tt0109445,7.8,198029,30458
tt0109506,7.6,151987,30512
tt0109686,7.3,321903,30667
tt0109707,7.9,154866,30682
tt0109830,8.8,1541203,30788
tt0109831,7.1,122665,30789
tt0084516,7.4,125141,31425
tt0084602,6.8,148962,31496
tt0084726,7.7,102747,31595
tt0084787,8.1,319312,31647
tt0084827,6.8,104041,31681
tt0085334,8.0,117584,32105
tt0085959,7.6,101109,32624
tt0086190,8.3,832773,32810
tt0086250,8.3,641507,32866
tt0086465,7.5,119474,33047
tt0086879,8.3,325579,33401
tt0086960,7.3,144885,33467
tt0087182,6.6,108522,33651
tt0087332,7.8,314479,33773
tt0087363,7.2,170382,33795
tt0061722,8.0,232930,33925
tt0061852,7.6,145564,34035
tt0062622,8.3,522112,34670
tt0063350,7.9,102429,35280
tt0063442,8.0,153316,35358
tt0063522,8.0,164601,35425
tt0064115,8.1,181998,35936
tt0064116,8.5,261761,35937
tt0054215,8.5,516078,36690
tt0054331,7.9,110609,36785
tt0054698,7.7,147216,37093
tt0055254,7.2,132637,37571
tt0055928,7.3,130888,38149
tt0056172,8.3,233521,38362
tt0056592,8.3,263029,38734
tt0056869,7.7,150590,38972
tt0057012,8.4,403021,39105
tt0057076,7.5,102727,39156
tt0057115,8.2,198970,39188
tt0058150,7.7,154979,40076
tt0058331,7.8,129246,40236
tt0058461,8.0,172762,40351
tt0059578,8.3,196896,41290
tt0059742,8.0,174427,41426
tt0060196,8.9,599317,41814
tt0061512,8.1,143447,42896
tt0066921,8.3,665743,44648
tt0066999,7.8,128859,44720
tt0067992,7.8,154307,45579
tt0046912,8.2,135451,46076
tt0047296,8.2,124442,46390
tt0047396,8.5,384035,46473
tt0047478,8.7,273493,46544
tt0048280,7.3,104164,47203
tt0050083,8.9,567370,48689
tt0050212,8.2,180630,48795
tt0050825,8.4,149696,49311
tt0050976,8.2,138034,49437
tt0052357,8.3,308189,50581
tt0052618,8.1,195750,50798
tt0053125,8.3,262620,51230
tt0053285,7.3,118190,51361
tt0053291,8.2,212170,51366
tt0053604,8.3,137266,51634
tt0068646,9.2,1385556,52500
tt0087469,7.6,389879,52909
tt0087538,7.2,153577,52969
tt0087544,8.1,123429,52973
tt0087800,7.5,179462,53184
tt0087843,8.4,266834,53221
tt0087928,6.7,100637,53292
tt0088247,8.0,706664,53558
tt0088258,8.0,117670,53567
tt0088323,7.4,115600,53620
tt0088763,8.5,896271,53994
tt0088846,8.0,171377,54066
tt0088847,7.9,308301,54067
tt0088944,6.7,129825,54155
tt0076759,8.6,1085073,54401
tt0077402,8.0,101299,54954
tt0077416,8.1,276537,54967
tt0077631,7.2,201443,55145
tt0077651,7.8,197875,55163
tt0077975,7.6,102659,55445
tt0078346,7.3,143975,55757
tt0078748,8.5,689221,56105
tt0078788,8.5,529788,56141
tt0079116,7.6,101410,56425
tt0079417,7.8,114619,56685
tt0079470,8.1,323418,56725
tt0079501,7.0,172523,56753
tt0079522,8.0,119123,56768
tt0079817,7.2,164874,57015
tt0080339,7.8,185085,57445
tt0080455,7.9,163220,57542
tt0080678,8.2,194475,57740
tt0080684,8.8,1014952,57746
tt0080761,6.5,101885,57814
tt0081398,8.2,278750,58336
tt0081505,8.4,749363,58426
tt0082096,8.4,201794,58938
tt0082198,6.9,125530,59024
tt0082340,7.2,108661,59149
tt0082694,7.6,151458,59448
tt0082971,8.5,782620,59681
tt0083658,8.2,606770,60265
tt0083866,7.9,327088,60449
tt0083907,7.5,165244,60484
tt0083944,7.7,196415,60519
tt0083987,8.1,202513,60551
tt0089218,7.8,210296,60732
tt0089530,6.3,115347,60993
tt0089880,6.4,134080,61294
tt0089927,6.8,160966,61339
tt0090605,8.4,582466,61928
tt0090728,7.3,109376,62028
tt0090756,7.8,157567,62051
tt0091042,7.8,281264,62293
tt0091064,7.5,140421,62311
tt0091203,7.2,110538,62422
tt0091369,7.4,109844,62559
tt0110148,7.6,268460,62744
tt0110322,7.5,129077,62878
tt0110357,8.5,798547,62903
tt0110413,8.6,887226,62951
tt0110475,6.9,305199,63003
tt0110632,7.3,195475,63121
tt0110912,8.9,1578153,63354
tt0111161,9.3,2021785,63568
tt0111257,7.2,294477,63643
tt0111282,7.1,162558,63667
